track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cluster,pca1,pca2
ELEVEN,IVE,1,2021,12,1,521,1,247737946,17,89,11,0,0,120,9.0,1,83,59,73,6,0,5,11,1,-1.1488627262641242,0.32155986301311346
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871,13,27,8,0,0,120,4.0,1,72,54,71,26,0,10,4,1,-0.1737194192213439,-0.34434583534853086
Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,13,0,32,1,0,110,10.0,1,63,31,35,93,0,29,3,3,2.874718731980111,0.9131569500885056
happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354,25,46,105,0,45,169,6.0,1,39,36,45,81,0,8,13,3,3.01680875282901,0.35798043629847653
Praise God,Kanye West,1,2021,8,29,4651,0,376333030,24,6,105,0,0,118,1.0,1,80,21,55,1,0,26,17,1,0.05951609201321082,-0.3359178151204323
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,516784627,43,19,73,12,0,92,8.0,0,91,79,66,32,0,9,16,2,-1.5647363240149381,1.9859395964427065
Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237,205,130,625,0,25,112,3.0,1,45,19,60,63,0,9,6,3,2.3486629182380536,-0.38262540166290765
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838,25,3,52,0,1,140,2.0,1,79,56,91,26,0,13,21,1,-1.2826104922131052,-0.20335727470948503
Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873,195,125,"6,280",2,78,105,8.0,1,73,52,76,13,0,5,3,1,-0.5823261456818013,-0.2819059613266529
Sobrio,Maluma,1,2021,7,8,3506,10,513643924,103,76,100,1,1,178,5.0,1,76,63,77,14,0,15,22,1,-1.0586998665870844,-0.160221836211378
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503,60,17,154,0,22,108,7.0,0,96,71,42,57,0,8,9,2,-0.19873761349798447,2.6343350519654947
favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581,20,21,99,0,7,173,9.0,1,40,19,29,86,0,34,4,3,3.9662608861637003,-0.27832835084516494
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,10,422691058,54,16,259,0,13,101,1.0,1,67,40,90,3,0,34,6,1,-0.9038920475537493,-2.0347673210122434
The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656,255,32,582,0,14,120,8.0,0,80,24,62,41,2,11,23,0,0.1110209318528987,1.567952894796673
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493,65,88,434,3,13,133,1.0,1,75,96,61,0,0,18,4,1,-1.2100676368059142,-0.5344851336770374
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,0,263894529,7,3,89,0,0,158,8.0,0,46,62,83,53,0,97,28,2,-0.3054298436645799,-1.8844177893705176
The Feels,TWICE,1,2021,10,1,1150,0,345903614,20,99,44,0,2,120,9.0,1,81,92,90,9,0,8,7,1,-2.171517740153192,-0.14952601647239422
No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,7370,0,956865266,92,127,"1,219",0,62,102,7.0,1,74,45,89,5,0,26,13,1,-1.2455847314383826,-0.9479915239068893
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,427486004,122,11,201,0,1,124,8.0,0,79,79,84,2,0,5,5,2,-2.120078311472928,0.1857820961834027
